19-02-2023 20:31:03 Stn Mitter Alex Uphill Blak   || 0:2 ||  Naicrez Suddi Timo Diddy Zery EU
23-02-2023 23:27:02 Cylas Foy Becket Zery M-kon   || 1:3 ||  Naicrez Stn Suddi Uphill Blak EU
26-02-2023 23:17:39 Nookie Timo Mitter Uphill Diddy   || 3:0 ||  Naicrez Stn Toxic Smurf Blak EU
05-03-2023 21:01:22 Naicrez Suddi Hero Diddy Haboo   || 3:0 ||  Alex Toxic Mitter Uphill Blak EU
05-03-2023 21:24:58 Naicrez Alex Suddi Diddy Haboo   || 1:0 ||  Toxic Nookie Mitter Uphill Blak EU
05-03-2023 21:55:41 Toxic Nookie Diddy Uphill Blak   || 0:2 ||  Naicrez Alex Suddi Zery Haboo EU
05-03-2023 22:21:01 Naicrez M-kon Diddy Zery Haboo   || 1:0 ||  Suddi Toxic Nookie Uphill Blak EU
06-03-2023 22:08:20 Alex Ronin Zery Timo Toxic   || 1:1 ||  Haboo Elytic Hero Suddi Uphill EU
10-03-2023 00:40:22 Toxic Ronin Uphill Blak Haboo   || 1:0 ||  Schmogle M-kon Suddi Elytic Ehkho EU
10-03-2023 22:52:00 Schmogle Hero Elytic Uphill Haboo   || 0:2 ||  Suddi Toxic Ronin Naicrez Pano EU
10-03-2023 23:32:39 Ronin Naicrez Uphill Pano Haboo   || 1:1 ||  Schmogle Hero Suddi Toxic Elytic EU
11-03-2023 00:38:11 Suddi Toxic Ronin Pano Haboo   || 1:3 ||  Blak Hero Elytic Naicrez Uphill EU
11-03-2023 00:58:56 Blak Hero Suddi Toxic Uphill   || 0:1 ||  Stn Ronin Naicrez Pano Haboo EU
11-03-2023 10:00:57 Suddi Toxic Ronin Pano Haboo   || 3:1 ||  Blak Elytic Hero Naicrez Uphill EU
11-03-2023 10:05:32 Blak Uphill Suddi Toxic Hero   || 0:1 ||  Ronin Naicrez Stn Pano Haboo EU
11-03-2023 10:09:48 Blak Uphill Haboo Naicrez Diddy   || 0:1 ||  Ronin Toxic Stn Pano Suddi EU
11-03-2023 21:25:48 Schmoogle Titan Ronin Diddy Haboo   || 1:1 ||  Foy Suddi Toxic Uphill Timo NY
11-03-2023 21:42:58 Uphill Foy Suddi Toxic Timo   || 0:1 ||  Ronin Diddy Schmoogle Titan Haboo NY
11-03-2023 21:46:39 Uphill Foy Suddi Toxic Timo   || 1:0 ||  Ronin Diddy Schmoogle Titan Haboo NY
11-03-2023 22:10:02 Uphill Foy Diddy Titan Timo   || 1:0 ||  Ronin Suddi Schmoogle Toxic Haboo NY
11-03-2023 22:21:36 Uphill Foy Diddy Titan Timo   || 1:0 ||  Ronin Suddi Schmoogle Toxic Haboo NY
11-03-2023 22:30:42 Uphill Foy Suddi Toxic Timo   || 1:0 ||  Ronin Diddy Schmoogle Titan Haboo NY
12-03-2023 21:22:03 Uphill Haboo Zery Mitter Timo   || 2:0 ||  Toxic Suddi Blak Titan Naicrez EU
12-03-2023 21:24:24 Uphill Haboo Zery Hero Timo   || 1:1 ||  Toxic Suddi Blak Ronin Naicrez EU
12-03-2023 22:14:35 Naicrez Suddi Uphill Ronin Haboo   || 1:1 ||  Blak Zery Toxic Timo Hero EU
14-03-2023 20:50:34 Blak Naicrez Zery Toxic Uphill   || 2:1 ||  Timo Alex Elytic Ronin Haboo EU
14-03-2023 21:11:10 Blak Toxic Timo Elytic Uphill   || 1:0 ||  Naicrez Zery Foy Ronin Haboo EU
15-03-2023 21:29:46 Naicrez Foy Stn M-kon Haboo   || 1:0 ||  Mitter Zery Toxic Nookie Uphill EU
15-03-2023 22:01:04 Mitter Timo Nookie Uphill M-kon   || 0:1 ||  Naicrez Toxic Foy Stn Haboo EU
15-03-2023 22:36:03 Naicrez Nookie Foy Blak Haboo   || 2:0 ||  Suddi Alex Toxic Stn Uphill EU
24-03-2023 21:38:42 Schmoogle Naicrez Haboo Blak Zery   || 1:2 ||  Becket Toxic Foy Stn Uphill EU
24-03-2023 22:15:39 Toxic Stn Uphill Blak Mitter   || 0:2 ||  Schmoogle Naicrez Becket Haboo Foy EU
26-03-2023 21:29:51 Alex Diddy Naicrez Blak Zery   || 1:0 ||  Becket Haboo Foy Stn Uphill EU
30-03-2023 19:03:39 Toxic Diddy Blak Naicrez Zery   || 0:2 ||  Foy Stn Uphill Becket Haboo EU
30-03-2023 20:13:11 Toxic Uphill Naicrez Schmoogle Zery   || 0:1 ||  Lightman Ronin Stn Mitter Blak EU
